setting,evidence_role,calibration_events,nominal_coverage,miscoverage_alpha,maximum_empirical_event_risk,domain_coverage,domain_ace,target_coverage,target_ace,delta_ace,delta_ace_ci_lower,delta_ace_ci_upper,bootstrap_replicates,bootstrap_seed,independent_unit,calibration_resampling,evaluation_resampling,calibrator_refit_each_replicate,common_method_indices,empty_event_policy,statistics_recomputed,interpretation
Berlin I,prespecified external finite-sample sensitivity,13,0.9,0.1,0.03076923076923077,0.8584268594548853,0.07563126280609943,0.9641509209089908,0.0641509209089908,-0.013210379207978804,-0.06561408619677855,0.02825187202292955,2000,20260801,rainfall event,event bootstrap with replacement,event bootstrap with replacement,true,true,exclude symmetrically; estimand conditional on nonempty prediction-selected events,false,ACE contrast is inconclusive because the interval includes zero
Berlin II,target-domain interval-recalibration sensitivity,25,0.9,0.1,0.064,0.7878807640133565,0.11211923598664368,0.9329088446069989,0.03301502256010318,-0.07947988124951266,-0.10691234074990089,-0.04906236462626429,2000,20260801,rainfall event,event bootstrap with replacement,event bootstrap with replacement,true,true,exclude symmetrically; estimand conditional on nonempty prediction-selected events,false,ACE reduction is supported while the point predictor remains fixed
