system,comparison,parameters_m,h_rmse_m,nse,wet_rmse_m,wet_nse,peak_depth_abs_error_m,csi_001,csi_010,csi_030,csi_050,target_ace,target_wis
CANO (standard objective),standard,0.277,0.019471218554503136,0.9733354712188169,0.023627689115776757,0.971563357051283,0.37242142338719636,0.7639811977803204,0.8413617983173655,0.9028849060828423,0.7678273153132217,0.0713625429374639,0.012052432987697271
DNO-3 (standard objective),standard,10.815,0.028764165950936473,0.942436596209668,0.035152724455201144,0.936911879655729,0.2614398751821783,0.7137409780854244,0.7770651882958215,0.8373027667982442,0.6481635841585281,0.028008551533195408,0.021902895520256326
FNO3D (standard objective),standard,10.627,0.029350867660187064,0.939646719578347,0.030369975049510306,0.9521470516934872,0.1863625751187404,0.6679168595486086,0.7802014969941594,0.8955246093160275,0.7063189477509001,0.015745406058075544,0.016633239537373185
U-Net3D (standard objective),standard,5.650,0.03801455882584503,0.8702637152349871,0.047360081245741925,0.8612948682794604,0.6357316072616311,0.7270149036896999,0.7553425909970969,0.7711756919204116,0.6529489172390349,0.06450865277249708,0.03550950091053131
CANO (selection-matched control),cano_ablation,0.277,0.01951816229091996,0.9732205604929319,0.02367946632929005,0.9714465854050682,0.37280959408316355,0.7638386687069957,0.8412269809860078,0.9027269917436734,0.767718719161668,0.07154591167133442,0.012111839667751575
CANO (peak-aware objective),cano_ablation,0.277,0.016411308510072956,0.9798170783675478,0.019658544033821782,0.9794723365876207,0.037964967596862055,0.7566741128325916,0.8540945621682051,0.9295162103799841,0.8261159696714625,0.04283818285181904,0.0073677029603609326
