benchmark,setting,evidence_role,n_units,unit,n_initializations,full_coverage,selected_coverage,population_effect,population_ci_lower,population_ci_upper,axis_effect,axis_ci_lower,axis_ci_upper,resampling,bootstrap_replicates,calibrator_refit,prespecification
UrbanFloodBench,California,development,69,rainfall event,1,0.9060175399364493,0.816756374193016,0.0892611657434331,0.06538017297813577,0.11447327456412905,0.05672039957895653,0.04108768391487782,0.07455293003289429,nested paired event bootstrap,2000,yes,development analysis
UrbanFloodBench,Tennessee,development,68,rainfall event,1,0.9055387583809986,0.390918436201969,0.5146203221790298,0.4648858745206584,0.5595786872670706,0.25953536237425956,0.18115483672190646,0.36321351744917324,nested paired event bootstrap,2000,yes,development analysis
UrbanFloodCast,Berlin I,external evaluation,12,rainfall event,1,0.8929875425777065,0.7541887132994815,0.13879882927822507,0.08708724291008015,0.18672559091954888,0.12029375210781525,0.09799741284574594,0.14409306012052484,paired event bootstrap,2000,no,prespecified
UrbanFloodCast,Berlin I three-initialization,robustness extension,12,rainfall event,3,,,0.13434437177351244,0.0872632004249365,0.17787164315577317,0.1250397163893234,0.10275085727610116,0.1452476579885165,nested calibration/test event bootstrap,5000,yes,prospectively locked extension
UrbanFloodCast,Berlin II,target-domain boundary,47,rainfall event,1,0.897827406422724,0.6719273139998125,0.22590009242291134,0.2238737830653441,0.22775901078901303,0.17734098994717243,0.1686956252373464,0.18703184300489037,paired event bootstrap,2000,no,target-domain stress analysis
WeatherBench 2,Pangu--ERA5,cross-domain test,365,issuance day,1,0.9016024929416034,0.8906074524239959,0.01099504051760758,0.006792358831507602,0.015162102258878268,0.03269443222569479,0.031000679440332142,0.03475843368896501,circular moving-block bootstrap (14 days),5000,no,prespecified
