candidate,comparator,endpoint,n_events,replicates,seed,relative_effect,lower_95,upper_95,exact_sign_flip_p_two_sided,holm_adjusted_p_two_sided,directional_support
CANO,DNO-3,h_rmse_m,12,5000,20260731,-0.32307376519397346,-0.37500115581927557,-0.270106113482621,0.00048828125,0.00146484375,True
CANO,FNO3D,h_rmse_m,12,5000,20260731,-0.3366050101164526,-0.38555396238358214,-0.2877880234785748,0.00048828125,0.00146484375,True
CANO,U-Net3D,h_rmse_m,12,5000,20260731,-0.4877957509988199,-0.5679247068206124,-0.40389665219007753,0.00048828125,0.00146484375,True
CANO,DNO-3,target_wis,12,5000,20260731,-0.44973334796986586,-0.5500989951759441,-0.3467121141946786,0.00048828125,0.00146484375,True
CANO,FNO3D,target_wis,12,5000,20260731,-0.2754007443579052,-0.39875751255643305,-0.1538457716183805,0.00146484375,0.00146484375,True
CANO,U-Net3D,target_wis,12,5000,20260731,-0.6605856833058785,-0.7618320317452032,-0.563339483123211,0.00048828125,0.00146484375,True
